Strain,Region,year,Dkl,Lowerbound,Upperbound
HK68,A,1968,0.,0.,0.003
HK68,B,1968,0.,0.,0.
HK68,C,1968,0.,0.,0.
HK68,D,1968,0.,0.,0.004
HK68,E,1968,0.,0.,0.002
HK68,B*,1968,0.,0.,0.
HK68,non-epitope,1968,0.,0.,0.
HK68,OtherbutB*,1968,0.,0.,0.
HK68,OtherEpibutB*,1968,0.,0.,0.001
HK68,A,1969,0.005,0.003,0.006
HK68,B,1969,0.,0.,0.
HK68,C,1969,0.009,0.,0.022
HK68,D,1969,0.01,0.001,0.024
HK68,E,1969,0.033,0.016,0.066
HK68,B*,1969,0.,0.,0.
HK68,non-epitope,1969,0.002,0.002,0.003
HK68,OtherbutB*,1969,0.003,0.002,0.004
HK68,OtherEpibutB*,1969,0.012,0.007,0.02
HK68,A,1970,0.005,0.003,0.006
HK68,B,1970,0.,0.,0.
HK68,C,1970,0.,0.,0.
HK68,D,1970,0.003,0.001,0.005
HK68,E,1970,0.087,0.08,0.098
HK68,B*,1970,0.,0.,0.
HK68,non-epitope,1970,0.003,0.002,0.003
HK68,OtherbutB*,1970,0.005,0.004,0.005
HK68,OtherEpibutB*,1970,0.022,0.021,0.025
HK68,A,1971,0.015,0.005,0.031
HK68,B,1971,0.024,0.014,0.039
HK68,C,1971,0.006,0.,0.015
HK68,D,1971,0.019,0.003,0.049
HK68,E,1971,0.043,0.027,0.071
HK68,B*,1971,0.049,0.024,0.083
HK68,non-epitope,1971,0.005,0.004,0.007
HK68,OtherbutB*,1971,0.007,0.006,0.008
HK68,OtherEpibutB*,1971,0.02,0.014,0.029
HK68,A,1972,0.086,0.069,0.105
HK68,B,1972,0.054,0.042,0.068
HK68,C,1972,0.063,0.046,0.091
HK68,D,1972,0.086,0.072,0.108
HK68,E,1972,0.047,0.031,0.064
HK68,B*,1972,0.017,0.006,0.034
HK68,non-epitope,1972,0.007,0.006,0.008
HK68,OtherbutB*,1972,0.013,0.012,0.015
HK68,OtherEpibutB*,1972,0.072,0.064,0.083
HK68,A,1973,0.125,0.119,0.135
HK68,B,1973,0.1,0.092,0.11
HK68,C,1973,0.087,0.087,0.087
HK68,D,1973,0.122,0.117,0.13
HK68,E,1973,0.06,0.056,0.071
HK68,B*,1973,0.018,0.,0.041
HK68,non-epitope,1973,0.008,0.008,0.009
HK68,OtherbutB*,1973,0.018,0.018,0.019
HK68,OtherEpibutB*,1973,0.108,0.105,0.113
HK68,A,1974,0.168,0.15,0.197
HK68,B,1974,0.123,0.11,0.143
HK68,C,1974,0.092,0.087,0.101
HK68,D,1974,0.133,0.123,0.153
HK68,E,1974,0.105,0.085,0.131
HK68,B*,1974,0.098,0.063,0.151
HK68,non-epitope,1974,0.009,0.008,0.01
HK68,OtherbutB*,1974,0.021,0.02,0.022
HK68,OtherEpibutB*,1974,0.129,0.121,0.138
HK68,A,1975,0.161,0.144,0.195
HK68,B,1975,0.142,0.122,0.176
HK68,C,1975,0.125,0.104,0.176
HK68,D,1975,0.187,0.157,0.231
HK68,E,1975,0.105,0.082,0.131
HK68,B*,1975,0.102,0.048,0.163
HK68,non-epitope,1975,0.011,0.01,0.012
HK68,OtherbutB*,1975,0.024,0.023,0.027
HK68,OtherEpibutB*,1975,0.149,0.137,0.164
HK68,A,1976,0.262,0.249,0.282
HK68,B,1976,0.185,0.165,0.207
HK68,C,1976,0.221,0.191,0.254
HK68,D,1976,0.259,0.239,0.288
HK68,E,1976,0.14,0.122,0.163
HK68,B*,1976,0.112,0.074,0.161
HK68,non-epitope,1976,0.011,0.01,0.012
HK68,OtherbutB*,1976,0.031,0.031,0.033
HK68,OtherEpibutB*,1976,0.22,0.214,0.235
HK68,A,1977,0.23,0.199,0.278
HK68,B,1977,0.166,0.143,0.192
HK68,C,1977,0.238,0.202,0.296
HK68,D,1977,0.201,0.172,0.25
HK68,E,1977,0.146,0.124,0.184
HK68,B*,1977,0.115,0.083,0.145
HK68,non-epitope,1977,0.01,0.009,0.011
HK68,OtherbutB*,1977,0.028,0.027,0.031
HK68,OtherEpibutB*,1977,0.199,0.189,0.224
HK68,A,1978,0.349,0.341,0.362
HK68,B,1978,0.224,0.217,0.238
HK68,C,1978,0.363,0.346,0.386
HK68,D,1978,0.213,0.193,0.239
HK68,E,1978,0.258,0.253,0.265
HK68,B*,1978,0.241,0.231,0.267
HK68,non-epitope,1978,0.014,0.013,0.015
HK68,OtherbutB*,1978,0.039,0.038,0.041
HK68,OtherEpibutB*,1978,0.275,0.271,0.282
HK68,A,1979,0.46,0.456,0.464
HK68,B,1979,0.346,0.346,0.346
HK68,C,1979,0.433,0.433,0.433
HK68,D,1979,0.244,0.232,0.29
HK68,E,1979,0.258,0.253,0.265
HK68,B*,1979,0.346,0.346,0.346
HK68,non-epitope,1979,0.014,0.013,0.015
HK68,OtherbutB*,1979,0.046,0.045,0.047
HK68,OtherEpibutB*,1979,0.341,0.337,0.351
HK68,A,1980,0.473,0.462,0.494
HK68,B,1980,0.34,0.327,0.358
HK68,C,1980,0.433,0.433,0.433
HK68,D,1980,0.242,0.235,0.255
HK68,E,1980,0.272,0.261,0.289
HK68,B*,1980,0.311,0.272,0.346
HK68,non-epitope,1980,0.014,0.013,0.015
HK68,OtherbutB*,1980,0.047,0.046,0.048
HK68,OtherEpibutB*,1980,0.348,0.343,0.356
HK68,A,1981,0.515,0.511,0.52
HK68,B,1981,0.346,0.346,0.346
HK68,C,1981,0.433,0.433,0.433
HK68,D,1981,0.233,0.231,0.235
HK68,E,1981,0.312,0.307,0.318
HK68,B*,1981,0.346,0.346,0.346
HK68,non-epitope,1981,0.014,0.013,0.015
HK68,OtherbutB*,1981,0.048,0.047,0.049
HK68,OtherEpibutB*,1981,0.363,0.361,0.365
HK68,A,1982,0.413,0.382,0.458
HK68,B,1982,0.31,0.288,0.344
HK68,C,1982,0.424,0.388,0.481
HK68,D,1982,0.323,0.297,0.363
HK68,E,1982,0.242,0.214,0.272
HK68,B*,1982,0.283,0.249,0.338
HK68,non-epitope,1982,0.014,0.014,0.016
HK68,OtherbutB*,1982,0.046,0.045,0.049
HK68,OtherEpibutB*,1982,0.339,0.328,0.359
HK68,A,1983,0.444,0.424,0.474
HK68,B,1983,0.339,0.323,0.366
HK68,C,1983,0.481,0.45,0.528
HK68,D,1983,0.36,0.329,0.398
HK68,E,1983,0.262,0.254,0.281
HK68,B*,1983,0.307,0.267,0.346
HK68,non-epitope,1983,0.016,0.014,0.017
HK68,OtherbutB*,1983,0.051,0.05,0.053
HK68,OtherEpibutB*,1983,0.373,0.367,0.39
HK68,A,1984,0.459,0.455,0.464
HK68,B,1984,0.355,0.346,0.39
HK68,C,1984,0.52,0.52,0.52
HK68,D,1984,0.463,0.462,0.465
HK68,E,1984,0.258,0.253,0.265
HK68,B*,1984,0.346,0.346,0.346
HK68,non-epitope,1984,0.016,0.016,0.017
HK68,OtherbutB*,1984,0.054,0.054,0.056
HK68,OtherEpibutB*,1984,0.403,0.4,0.414
HK68,A,1985,0.447,0.433,0.461
HK68,B,1985,0.353,0.341,0.373
HK68,C,1985,0.52,0.52,0.52
HK68,D,1985,0.413,0.407,0.424
HK68,E,1985,0.258,0.253,0.265
HK68,B*,1985,0.298,0.272,0.333
HK68,non-epitope,1985,0.017,0.016,0.017
HK68,OtherbutB*,1985,0.054,0.053,0.055
HK68,OtherEpibutB*,1985,0.395,0.39,0.401
HK68,A,1986,0.462,0.457,0.475
HK68,B,1986,0.414,0.401,0.436
HK68,C,1986,0.52,0.52,0.52
HK68,D,1986,0.406,0.404,0.408
HK68,E,1986,0.258,0.253,0.265
HK68,B*,1986,0.395,0.368,0.462
HK68,non-epitope,1986,0.018,0.017,0.019
HK68,OtherbutB*,1986,0.056,0.055,0.057
HK68,OtherEpibutB*,1986,0.404,0.401,0.409
HK68,A,1987,0.508,0.502,0.517
HK68,B,1987,0.424,0.4,0.46
HK68,C,1987,0.52,0.52,0.52
HK68,D,1987,0.406,0.404,0.408
HK68,E,1987,0.316,0.308,0.335
HK68,B*,1987,0.392,0.359,0.462
HK68,non-epitope,1987,0.016,0.016,0.017
HK68,OtherbutB*,1987,0.057,0.056,0.058
HK68,OtherEpibutB*,1987,0.43,0.426,0.439
HK68,A,1988,0.511,0.505,0.52
HK68,B,1988,0.413,0.406,0.43
HK68,C,1988,0.524,0.52,0.53
HK68,D,1988,0.406,0.404,0.408
HK68,E,1988,0.29,0.277,0.307
HK68,B*,1988,0.399,0.382,0.44
HK68,non-epitope,1988,0.017,0.016,0.017
HK68,OtherbutB*,1988,0.057,0.056,0.057
HK68,OtherEpibutB*,1988,0.421,0.417,0.426
HK68,A,1989,0.544,0.521,0.57
HK68,B,1989,0.415,0.408,0.422
HK68,C,1989,0.565,0.546,0.595
HK68,D,1989,0.406,0.404,0.408
HK68,E,1989,0.339,0.327,0.358
HK68,B*,1989,0.408,0.387,0.427
HK68,non-epitope,1989,0.016,0.016,0.017
HK68,OtherbutB*,1989,0.058,0.058,0.059
HK68,OtherEpibutB*,1989,0.446,0.44,0.454
HK68,A,1990,0.569,0.563,0.582
HK68,B,1990,0.41,0.395,0.437
HK68,C,1990,0.582,0.557,0.606
HK68,D,1990,0.41,0.405,0.418
HK68,E,1990,0.364,0.359,0.372
HK68,B*,1990,0.385,0.35,0.447
HK68,non-epitope,1990,0.016,0.016,0.017
HK68,OtherbutB*,1990,0.06,0.059,0.061
HK68,OtherEpibutB*,1990,0.461,0.457,0.467
HK68,A,1991,0.596,0.585,0.613
HK68,B,1991,0.39,0.383,0.401
HK68,C,1991,0.584,0.568,0.599
HK68,D,1991,0.4,0.39,0.417
HK68,E,1991,0.365,0.36,0.373
HK68,B*,1991,0.34,0.322,0.366
HK68,non-epitope,1991,0.017,0.017,0.018
HK68,OtherbutB*,1991,0.061,0.061,0.062
HK68,OtherEpibutB*,1991,0.465,0.46,0.471
HK68,A,1992,0.581,0.567,0.601
HK68,B,1992,0.391,0.38,0.402
HK68,C,1992,0.589,0.574,0.608
HK68,D,1992,0.377,0.37,0.388
HK68,E,1992,0.367,0.36,0.375
HK68,B*,1992,0.338,0.312,0.37
HK68,non-epitope,1992,0.017,0.017,0.018
HK68,OtherbutB*,1992,0.061,0.06,0.062
HK68,OtherEpibutB*,1992,0.458,0.454,0.465
HK68,A,1993,0.579,0.568,0.594
HK68,B,1993,0.413,0.405,0.423
HK68,C,1993,0.657,0.642,0.673
HK68,D,1993,0.394,0.388,0.401
HK68,E,1993,0.4,0.391,0.41
