Background	Year	MeanPref	StdPref
Bris07P194	1968	-0.104579742445	1.3947701539e-18
Bris07P194	1969	-0.104579742445	0.0
Bris07P194	1970	-0.104579742445	6.93889390391e-18
Bris07P194	1971	-0.247214287262	0.0539107905649
Bris07P194	1972	-0.104579742445	3.27102595559e-18
Bris07P194	1973	0.130602287699	0.117591015072
Bris07P194	1974	0.600966347987	0.0
Bris07P194	1975	0.600966347987	0.0
Bris07P194	1976	-0.465976384836	0.0
Bris07P194	1977	-0.420801804537	0.0451745802989
Bris07P194	1978	-0.016661811435	0.449314573401
Bris07P194	1979	2.22991105557	0.0
Bris07P194	1980	1.89292512552	0.336985930051
Bris07P194	1981	2.22991105557	0.0
Bris07P194	1982	1.33128190877	0.568342975142
Bris07P194	1983	1.78059648217	0.449314573401
Bris07P194	1984	2.22991105557	0.0
Bris07P194	1985	0.650182599468	0.370643911346
Bris07P194	1986	0.713229480099	0.47961682637
Bris07P194	1987	0.0834778075645	0.336937915038
Bris07P194	1988	-0.111053388383	0.165896761318
Bris07P194	1989	-0.19296126036	0.121143376371
Bris07P194	1990	-0.223940384541	0.153769709009
Bris07P194	1991	0.310487990295	0.167510735352
Bris07P194	1992	0.0706183409882	0.107395605068
Bris07P194	1993	-0.140302440238	5.98592138098e-18
Bris07P194	1994	-0.140765893682	0.00161069118761
Bris07P194	1995	-0.152454084618	0.0166947687468
Bris07P194	1996	-0.161221077012	0.0116264468329
Bris07P194	1997	-0.189577431458	0.00617585845256
Bris07P194	1998	-0.226925825754	0.00281191408475
Bris07P194	1999	-0.230438308077	0.00360724799268
Bris07P194	2000	-0.227227460963	0.00480778482433
Bris07P194	2001	-0.226831060085	0.00721449598536
Bris07P194	2002	-0.217253418997	0.00896931850271
Bris07P194	2003	0.747838455062	0.0175655824751
Bris07P194	2004	0.0995934668274	0.0186458504057
Bris07P194	2005	2.01963796794	0.119525660408
Bris07P194	2006	4.33414465297	0.0906693866929
Bris07P194	2007	4.61737887645	0.0174993570638
Bris07P194	2008	4.14489484817	0.0629805997073
Bris07P194	2009	5.34854791573	0.0228080617431
Bris07P194	2010	5.73255027017	0.00765894286658
Bris07P194	2011	5.72929978739	0.00753484903043
Bris07P194	2012	5.72553432049	0.00651900450339
Bris07P194	2013	5.67811198687	0.0128008924756
Bris07P194	2014	5.33528983898	0.0326446896232
Bris07P194	2015	6.22481778605	0.02231829939
Bris07P194	2016	5.76634875528	0.0307944743754
Bris07P194	2017	6.45365598435	0.0131324355026
Bris07P194	2018	6.16429684386	0.0264582305559
Bk79	1968	-0.47688798897	1.11581612312e-17
Bk79	1969	-0.47688798897	2.26623325918e-17
Bk79	1970	-0.47688798897	0.0
Bk79	1971	-0.205474663287	0.102584594609
Bk79	1972	-0.47688798897	1.30841038224e-17
Bk79	1973	-0.524826556489	0.0239692837593
Bk79	1974	-0.620703691526	0.0
Bk79	1975	-0.620703691526	0.0
Bk79	1976	0.101704304557	0.0
Bk79	1977	0.0293802678661	0.0723240366909
Bk79	1978	0.481977030127	0.380272725571
Bk79	1979	2.38334065798	0.0
Bk79	1980	2.0981361138	0.285204544178
Bk79	1981	2.38334065798	0.0
Bk79	1982	1.62279520684	0.481011177937
Bk79	1983	2.00306793241	0.380272725571
Bk79	1984	2.38334065798	0.0
Bk79	1985	1.32979177017	0.311095839427
Bk79	1986	2.0480049894	0.10604244934
Bk79	1987	0.702149797524	0.622144946504
Bk79	1988	1.06134534986	0.306322996282
Bk79	1989	1.21258558243	0.223687320565
Bk79	1990	1.58951345014	0.308953760806
Bk79	1991	1.72699321431	0.430387589796
Bk79	1992	0.0889699289351	0.466630148763
Bk79	1993	-0.827473490317	3.59155282859e-17
Bk79	1994	-0.830208429938	0.00473898309719
Bk79	1995	-0.832465445827	0.012340743598
Bk79	1996	-0.853621821293	0.0115676226286
Bk79	1997	-0.992272696909	0.0196967990842
Bk79	1998	-1.11267508914	0.00925803566725
Bk79	1999	-1.13012019761	0.00599611883058
Bk79	2000	-1.12478299294	0.00799170147908
Bk79	2001	-1.12412407878	0.0119922376612
Bk79	2002	-1.12898082131	0.00363973324998
Bk79	2003	-0.751692962397	0.00551763643362
Bk79	2004	-0.944945343807	0.00620802432588
Bk79	2005	-1.22185946763	0.0124486603979
Bk79	2006	-1.45460766441	0.00973014070501
Bk79	2007	-1.48471171836	0.00178229738995
Bk79	2008	-1.38662751387	0.0130677771396
Bk79	2009	-0.95569447895	0.0112042842166
Bk79	2010	-0.714488533162	0.00150617529109
Bk79	2011	-0.711611364421	0.00120390203121
Bk79	2012	-0.711266037112	0.00101588367596
Bk79	2013	-0.708942018938	0.00173068495382
Bk79	2014	-0.583804372421	0.00362930995834
Bk79	2015	-0.625279669319	0.00215276074825
Bk79	2016	-0.552338394664	0.00321788814405
Bk79	2017	-0.61296254784	0.00172524983673
Bk79	2018	-0.569174840969	0.0036428871873
Bris07	1968	-0.460659843245	2.7895403078e-17
Bris07	1969	-0.460659843245	4.53246651837e-17
Bris07	1970	-0.460659843245	2.77555756156e-17
Bris07	1971	-0.601715302894	0.0533139524713
Bris07	1972	-0.460659843245	0.0
Bris07	1973	-0.600852981114	0.0700965689345
Bris07	1974	-0.881239256852	0.0
Bris07	1975	-0.881239256852	0.0
Bris07	1976	-1.02222893766	0.0
Bris07	1977	-0.952032800858	0.0701961368019
Bris07	1978	-0.99508798093	0.0271409567298
Bris07	1979	-0.859383197281	0.0
Bris07	1980	-0.879738914828	0.0203557175474
Bris07	1981	-0.859383197281	7.85046229342e-17
Bris07	1982	-0.913665110741	0.0343308964569
Bris07	1983	-0.886524154011	0.0271409567298
Bris07	1984	-0.859383197281	7.85046229342e-17
Bris07	1985	-0.898222405245	0.0739529730041
Bris07	1986	-0.978974853358	0.0378182022356
Bris07	1987	-0.570881587349	0.290849776848
Bris07	1988	-0.738803784306	0.143204530733
Bris07	1989	-0.809507867235	0.1045727489
Bris07	1990	-0.82492704246	0.166743796919
Bris07	1991	-0.596578775272	0.180333157007
Bris07	1992	0.0956299241783	0.175435451512
Bris07	1993	0.440178311093	1.79577641429e-17
Bris07	1994	0.478113688242	0.0299662005816
Bris07	1995	0.436550297284	0.0145996818356
Bris07	1996	0.636911815011	0.0658681398353
Bris07	1997	1.55253630249	0.121787823068
Bris07	1998	2.29112441985	0.0600842532572
Bris07	1999	2.44448705308	0.00123007634878
Bris07	2000	2.4455819562	0.0016394610003
Bris07	2001	2.44571712943	0.00246015269756
Bris07	2002	2.44410990558	0.00206671787657
Bris07	2003	2.53622426918	0.00805804591099
Bris07	2004	2.28047079222	0.00975483488788
Bris07	2005	2.14198579666	0.00561556203085
Bris07	2006	2.08003649347	0.00564882515486
Bris07	2007	2.06689960728	0.00342588018073
Bris07	2008	1.81201206672	0.0326593320983
Bris07	2009	2.38214748444	0.00931870288783
Bris07	2010	2.54989389412	0.00094098034436
Bris07	2011	2.55010894064	0.000605533585253
Bris07	2012	2.54816459557	0.000942957495126
Bris07	2013	2.52408671527	0.00562238602856
Bris07	2014	2.2095761239	0.0173395848943
Bris07	2015	2.62167591587	0.0111352246983
Bris07	2016	2.37037164009	0.0157025329209
Bris07	2017	2.79045686764	0.00489863942006
Bris07	2018	2.63663099265	0.0113405401923
